@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: FX493 |Applying initial value "0" on instance HPolSync.
@N: FX493 |Applying initial value "0" on instance VPolSync.
@N: FX493 |Applying initial value "0000000000" on instance cptRST[9:0].
@N: FX493 |Applying initial value "000000000000000000000000" on instance RGB[23:0].
@N: BN115 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":9920:16:9920:34|Removing instance C2 (in view: work.Spi_slave_uniq_0(ar)) of type view:work.SPI_out_uniq_0(ar) because it does not drive other instances.
@N: BN362 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":6438:8:6438:9|Removing sequential instance Ce7 (in view: work.SeqBlk_uniq_0_50_115200(behavioral)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":6469:8:6469:9|Removing sequential instance Ce1ms (in view: work.SeqBlk_uniq_0_50_115200(behavioral)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":6498:8:6498:9|Removing sequential instance StartupPCS[1:0] (in view: work.SeqBlk_uniq_0_50_115200(behavioral)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":6513:8:6513:9|Removing sequential instance StartupSDR (in view: work.SeqBlk_uniq_0_50_115200(behavioral)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":6523:8:6523:9|Removing sequential instance StartupDDR2 (in view: work.SeqBlk_uniq_0_50_115200(behavioral)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":7725:8:7725:9|Removing sequential instance Done (in view: work.I2cMasterCommands_uniq_0_ECP3_50_100(rtl)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":6438:8:6438:9|Removing sequential instance Cnt7[11:0] (in view: work.SeqBlk_uniq_0_50_115200(behavioral)) of type view:PrimLib.sdffpatr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":6469:8:6469:9|Removing sequential instance CntMs[9:0] (in view: work.SeqBlk_uniq_0_50_115200(behavioral)) of type view:PrimLib.sdffpatr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":6453:8:6453:9|Removing sequential instance CntUs[5:0] (in view: work.SeqBlk_uniq_0_50_115200(behavioral)) of type view:PrimLib.sdffpatr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\cypri\documents\git\pge\11_fpga_generation\genvideo\diamond1.4\a\reveal_workspace\tmpreveal\top_rvl_top.vhd":6453:8:6453:9|Removing sequential instance Ce (in view: work.SeqBlk_uniq_0_50_115200(behavioral)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: FX493 |Applying initial value "1" on instance State[10].
@N: FX493 |Applying initial value "0" on instance State[9].
@N: FX493 |Applying initial value "0" on instance State[8].
@N: FX493 |Applying initial value "0" on instance State[7].
@N: FX493 |Applying initial value "0" on instance State[6].
@N: FX493 |Applying initial value "0" on instance State[5].
@N: FX493 |Applying initial value "0" on instance State[4].
@N: FX493 |Applying initial value "0" on instance State[3].
@N: FX493 |Applying initial value "0" on instance State[2].
@N: FX493 |Applying initial value "0" on instance State[1].
@N: FX493 |Applying initial value "0" on instance State[0].
@N: FX1184 |Applying syn_allowed_resources blockrams=240 on top level netlist Top 
@N: MT611 :|Automatically generated clock TestVideoTop_uniq_0|PinTfpClkP_inferred_clock is not used and is being removed
@N: FX1143 |Skipping assigning INTERNAL_VREF to iobanks, because the table of mapping from pin to iobank is not initialized.
